Move_ID,Line_ID,Slot,Name,Name_S1,Name_S2,Name_S3,Power_S1,Power_S2,Power_S3,Cooldown,Effect_S1,Effect_S2,Effect_S3,Synergy,Anti,VFX_Description,Targets,Level_Learned,Level_Upgrade_V2,Level_Upgrade_V3
M-SANDSKITTER-3,SANDSKITTER,3,Keen of the Buried,Keening,Keening Wail,Keen of the Buried,0,0,0,2,"Unraveled: target -10% Defense, 1t.","Unraveled: target -10% Defense, 2t.","Unraveled: target -15% Defense, 2t.",-,-,A held shriek; threads of the target visibly fray loose.,enemy,5,20,44
M-SANDSKITTER-4,SANDSKITTER,4,Portent of the Grave,Death Omen,Omen of Death,Portent of the Grave,0,0,0,2,Omen: +15% damage from the next hit against it.,Omen: target takes +20% damage from the next hit against it.,Omen: target takes +25% damage from the next hit against it.,-,-,The banshee points; a black mark blooms where she looks.,enemy,10,20,44
M-DUNECOIL-1,DUNECOIL,1,Fang Beneath the Dunes,Sand Fang,Buried Fang,Fang Beneath the Dunes,95,130,160,3,"Damage; Venom Grit: 3%/turn, 2t.","Damage; Venom Grit: target takes 4% max HP/turn, 2t.","Damage; Venom Grit: target takes 5% max HP/turn, 2t.",-,-,"A strike from below the sand, fangs first, venom mixed with grit.",enemy,15,20,45
M-DUNECOIL-2,DUNECOIL,2,Crushing Constriction,Squeeze,Constrict,Crushing Constriction,50,65,80,1,"Damage; Coilcrush: target -1 Speed stage, 1t.","Damage; Coilcrush: target -1 Speed stage, 2t.","Damage; Coilcrush: target -1 Speed stage, 2t.",-,-,Loops of muscle stack around the target with a dry rasp.,enemy,1,20,45
M-DUNECOIL-3,DUNECOIL,3,Duneshadow Ambush,Ambush Strike,Ambush Lunge,Duneshadow Ambush,50,65,80,1,Damage; +15% more if user acted before the target this turn.,Damage; +25% more if user acted before the target this turn.,Damage; +30% more if user acted before the target this turn.,-,-,The sand bulges and the strike is already over.,enemy+self,5,20,45
M-DUNECOIL-4,DUNECOIL,4,Beneath the Sandsea,Sand Swim,Dune Glide,Beneath the Sandsea,0,0,0,2,"Self +1 Speed stage, 1t.","Self +1 Speed stage, 2t; next hit taken -15%.","Self +1 Speed stage, 2t; next hit taken -20%.",-,-,The sidewinder pours itself under the surface like water.,self,10,20,45
M-FATA-1,FATA,1,Dream of Drowning Light,Water Dream,Dream of Water,Dream of Drowning Light,95,130,160,3,"Damage; Parched Hope: target -10% Attack, 1t.","Damage; Parched Hope: target -10% Attack and -5% Defense, 2t.","Damage; Parched Hope: target -15% Attack and -10% Defense, 2t.",-,+35% damage vs Fey targets.,"A cool blue oasis blooms around the target, then evaporates into the hit.",enemy,16,21,41
M-FATA-2,FATA,2,Legion of Images,Double Image,Twin Image,Legion of Images,50,65,80,1,Damage as 2 hits.,Damage as 2 hits; second hit +25% more vs debuffed targets.,Damage as 2 hits; second hit +30% more vs debuffed targets.,-,-,Two identical cats strike; only one leaves pawprints.,enemy,6,21,41
M-FATA-3,FATA,3,Talon of False Light,Mirage Claw,Mirage Talon,Talon of False Light,30,40,50,0,Damage only.,Damage; +15% more if user acted before the target this turn.,Damage; +20% more if user acted before the target this turn.,-,-,The claw comes from where the cat isn't.,enemy+self,1,21,41
M-FATA-4,FATA,4,Haze of the Lost Road,Heat Haze,Shimmering Haze,Haze of the Lost Road,0,0,0,2,Next hit taken -25%.,Next 2 hits taken -20%.,Next 2 hits taken -25%.,-,-,The cat's outline wavers and doubles in the shimmer.,self,11,21,41
M-SIMOOM-1,SIMOOM,1,Sandblast Apocalypse,Grit Blast,Sandblast,Sandblast Apocalypse,70,95,120,2,Damage only.,"Damage; Scoured: target -5% Attack, 2t.","Damage; Scoured: target -10% Attack, 2t.",-,-,A shotgun cone of ash and quartz at point-blank range.,enemy,6,23,45
M-SIMOOM-2,SIMOOM,2,Gale of Grinding Glass,Grinding Gale,Scouring Gale,Gale of Grinding Glass,30,40,50,0,"Damage; Abrade: target -3% Defense, does not stack.","Damage; Abrade: target -4% Defense, stacks up to 3 times.","Damage; Abrade: target -5% Defense, stacks up to 3 times.",-,-,A sustained blast of sand that polishes what it strikes.,enemy,1,23,45
M-SIMOOM-3,SIMOOM,3,Reconstitute the Storm,Reform,Re-form,Reconstitute the Storm,0,0,0,3,"+25% Defense (self, 1t); cleanse 1 debuff.","+30% Defense (self, 1t); cleanse up to 2 debuffs.","+40% Defense (self, 1t); cleanse all debuffs.",-,-,The construct collapses to a dune and rebuilds itself grain by grain.,self,12,23,45
M-SIMOOM-4,SIMOOM,4,Wall of the Burning Storm,Stormwall,Wall of Sand,Wall of the Burning Storm,0,0,0,3,"One ally takes -20% damage, 1t.","All allies take -20% damage, 1t.","All allies take -25% damage, 1t.",Construct allies take -40% damage instead.,-,A standing wave of sand curls over the team like a cresting dune.,ally,17,23,45
M-ECHIDNA-1,ECHIDNA,1,Thousand Fangs,Fang Flurry,Hundred Fangs,Thousand Fangs,95,130,160,4,Damage as 3 hits.,Damage as 4 hits; each applies 1t of Mothervenom.,Damage as 4 hits; each applies 1t of Mothervenom.,-,+30% damage vs Chimera targets.,The brood strikes as one — a wave of small mouths.,enemy,18,24,46
M-ECHIDNA-2,ECHIDNA,2,Coil of the Broodmother,Mother's Coil,Matriarch's Coil,Coil of the Broodmother,70,95,120,2,"Damage; Coiled: target -1 Speed stage, 1t.","Damage; Coiled: target -1 Speed stage, 2t.","Damage; Coiled: target -1 Speed stage, 2t.",-,-,"The great body wraps the target once, tightens, releases.",enemy,6,24,46
M-ECHIDNA-3,ECHIDNA,3,Serpent Queen's Venom,Viper Spit,Venom Spit,Serpent Queen's Venom,30,40,50,0,Damage only.,"Damage; Mothervenom: target takes 2% max HP/turn, 2t.","Damage; Mothervenom: target takes 3% max HP/turn, 2t.",-,-,A precise dart of venom that hisses where it lands.,enemy,1,24,46
M-ECHIDNA-4,ECHIDNA,4,Summons of the Thousand,Brood Call,Call the Brood,Summons of the Thousand,0,0,0,2,"Self +15% Attack, 2t.","Self +20% Attack, 2t.","Self +25% Attack, 2t.","Serpent and Chimera allies gain +15% Attack, 2t.",-,Dozens of small vipers surface and coil around their mother.,self,12,24,46
M-EMBERCLAW-1,EMBERCLAW,1,Incandescent Rend,Hot Rend,White-Hot Rend,Incandescent Rend,95,130,160,3,Damage only.,Damage only.,Damage only.,-,+45% damage vs Floral and Ooze targets.,Both claws cross at full killing heat; the X-shaped afterglow lingers.,enemy,22,29,53
M-EMBERCLAW-2,EMBERCLAW,2,Heat That Kills,Killing Heat,Lethal Heat,Heat That Kills,70,95,120,2,"Damage; Scorch: 3%/turn, 1t.","Damage; Scorch: target takes 3% max HP/turn, 2t.","Damage; Scorch: target takes 4% max HP/turn, 2t.",-,-,Afterimages of heat hang in the air along the slash path.,enemy,15,29,53
M-EMBERCLAW-3,EMBERCLAW,3,Brandmark Swipe,Sear Swipe,Searing Swipe,Brandmark Swipe,30,40,50,0,Damage only.,"Damage; Cauterized: target's healing received -40%, 2t.","Damage; Cauterized: target's healing received -50%, 2t.",-,-,The claw glows forge-orange; the wound smokes instead of bleeding.,enemy,1,29,53
M-EMBERCLAW-4,EMBERCLAW,4,Furnace Heart,Kindle,Stoke Embers,Furnace Heart,0,0,0,1,"Self +10% Attack, 2t.","Self +15% Attack, 2t.","Self +20% Attack, 2t.",-,-,The claws brighten from ember-red toward white.,self,8,29,53
M-ZARATAN-1,ZARATAN,1,Roll of the Living Continent,Slow Roll,Continental Roll,Roll of the Living Continent,95,130,160,4,"Damage; Ruinshock: target -10% Defense, 1t.","Damage; Ruinshock: target -10% Defense, 2t.","Damage; Ruinshock: target -15% Defense, 2t.",-,+35% damage vs Construct targets.,"The impossible: the whole mountain-shell tips, rolls, and rights itself.",enemy,20,26,49
M-ZARATAN-2,ZARATAN,2,The Weight of All Ages,Weight of Ages,Weight of Eons,The Weight of All Ages,50,65,80,2,Damage; +15% more per active Defense buff on self (max +30%).,Damage; +25% more per active Defense buff on self (max +50%).,Damage; +30% more per active Defense buff on self (max +60%).,-,-,One deliberate step forward. The ground remembers it.,enemy+self,7,26,49
M-ZARATAN-3,ZARATAN,3,Shrug That Topples Cities,Ruin Shrug,Shrug of Ruin,Shrug That Topples Cities,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,The tortoise shifts; a cornice of its shell-ruins drops on the target.,enemy,1,26,49
M-ZARATAN-4,ZARATAN,4,Patience of the Deep Earth,Ancient Patience,Eternal Patience,Patience of the Deep Earth,0,0,0,3,"+30% Defense (self, 2t).","+40% Defense (self, 2t).","+50% Defense (self, 2t).",-,-,The colossus settles lower; moss visibly spreads over its plates.,self,13,26,49
M-MARID-1,MARID,1,Wrath of the Burning Wind,Sand Gust,Simoom's Wrath,Wrath of the Burning Wind,95,130,160,3,"Damage; Flayed by Sand: target -10% Defense, 1t.","Damage; Flayed by Sand: target -10% Defense, 2t.","Damage; Flayed by Sand: target -15% Defense, 2t.",-,+30% damage vs Avian targets.,The horizon turns brown and arrives all at once.,enemy,23,30,53
M-MARID-2,MARID,2,Cyclone of Glass and Sand,Sand Cyclone,Desert Cyclone,Cyclone of Glass and Sand,50,65,80,1,Damage only.,"Damage; Gritted Eyes: target -5% Attack, 2t.","Damage; Gritted Eyes: target -10% Attack, 2t.",-,-,A person-sized dust devil engulfs the target's head.,enemy,8,30,53
M-MARID-3,MARID,3,Wind That Strips Bone,Scouring Wind,Flaying Wind,Wind That Strips Bone,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,A ribbon of sand-laden wind snaps like a whip.,enemy,1,30,53
M-MARID-4,MARID,4,Stride of the Bottled Storm,Djinn Step,Djinn Stride,Stride of the Bottled Storm,0,0,0,2,"Self +1 Speed stage, 1t.","Self +1 Speed stage, 2t.","Self +1 Speed stage, 2t.","Elemental allies gain +1 Speed stage, 1t.",-,The djinn disperses and re-forms three strides closer.,self,15,30,53
M-OUROBOROS-1,OUROBOROS,1,The End Is the Beginning,Tail Bite,End Is Beginning,The End Is the Beginning,95,130,160,4,Damage; +20% more vs targets with 2 or more debuffs.,Damage; +30% more vs targets with 2 or more debuffs.,Damage; +40% more vs targets with 2 or more debuffs.,-,-,For one frame the serpent's ring closes around the entire arena.,enemy,23,30,53
M-OUROBOROS-2,OUROBOROS,2,Bind Without End,Eternal Bind,Endless Bind,Bind Without End,70,95,120,2,"Damage; target -1 Speed stage, 1t.","Damage; target -1 Speed stage, 2t; refreshes the duration of existing damage-over-time effects on the target.","Damage; target -1 Speed stage, 2t; refreshes the duration of existing damage-over-time effects on the target.",-,-,Coils close in a pattern with no visible beginning.,enemy,8,30,53
M-OUROBOROS-3,OUROBOROS,3,Coil Around the World,World Coil,Worldring Coil,Coil Around the World,50,65,80,0,Damage only.,Damage only.,Damage only.,-,-,A section of endless body simply tightens across the field.,enemy,1,30,53
M-OUROBOROS-4,OUROBOROS,4,Devour the Self Eternal,Tail Swallow,Swallow the Tail,Devour the Self Eternal,0,0,0,2,"cleanse 1 debuff; +10% Attack (self, 2t) if a debuff was cleansed.","Cleanse up to 2 self debuffs; +10% Attack (self, 2t) per debuff cleansed.","Cleanse all self debuffs; +15% Attack (self, 2t) per debuff cleansed.",-,-,The serpent bites its own tail; what ailed it travels the loop and is gone.,self,15,30,53
M-GLOOMGRUB-1,GLOOMGRUB,1,Flood of Dissolution,Acid Spill,Dissolving Flood,Flood of Dissolution,50,65,80,3,"Damage; Meltshell: target -10% Defense, 2t.","Damage; Meltshell: target -15% Defense, 3t.","Damage; Meltshell: target -20% Defense, 3t.",-,+40% damage vs Construct targets.,A wave of acid that eats colour out of everything it crosses.,enemy,17,22,42
M-GLOOMGRUB-2,GLOOMGRUB,2,Corrosive Torrent,Acid Dribble,Acid Spatter,Corrosive Torrent,30,40,50,0,Damage only.,"Damage; Etched: target -4% Defense, 2t.","Damage; Etched: target -5% Defense, 2t.",-,-,A thin line of smoking fluid arcs from the larva's mouth.,enemy,1,22,42
M-GLOOMGRUB-3,GLOOMGRUB,3,Fleshmelt Burst,Corrosive Burst,Caustic Burst,Fleshmelt Burst,0,0,0,2,"Meltshell: target -10% Defense, 1t.","Meltshell: target -15% Defense, 2t.","Meltshell: target -20% Defense, 2t.",-,-,The grub convulses and vents acid from every pore at once.,enemy,6,22,42
M-GLOOMGRUB-4,GLOOMGRUB,4,Impervious Coil,Curl Up,Curl Tight,Impervious Coil,0,0,0,2,"+25% Defense (self, 2t).","+30% Defense (self, 2t).","+35% Defense (self, 2t).",-,-,"The larva rolls into a glistening, rubbery ball.",self,11,22,42
M-THORNHUSK-1,THORNHUSK,1,Detonation of the Husk,Husk Pop,Husk Detonation,Detonation of the Husk,70,95,120,3,Damage; user loses 10% max HP.,"Damage; Impaled: target -5% Defense, 2t; user loses 5% max HP.","Damage; Impaled: target -10% Defense, 2t; user loses 10% max HP.",-,-,The outer husk explodes outward in a ring of thorn shrapnel.,enemy+self,17,23,43
M-THORNHUSK-2,THORNHUSK,2,Barrage of Iron Thorns,Thorn Volley,Thorn Barrage,Barrage of Iron Thorns,50,65,80,1,Damage only.,"Damage; Splinters: target takes 2% max HP/turn, 2t.","Damage; Splinters: target takes 3% max HP/turn, 2t.",-,-,A rattling burst of woody spines from the carapace seams.,enemy,6,23,43
M-THORNHUSK-3,THORNHUSK,3,Impaling Branch,Branch Jab,Branch Spear,Impaling Branch,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,What looked like a dead branch stabs forward.,enemy,1,23,43
M-THORNHUSK-4,THORNHUSK,4,Bark of the Waiting Snare,Mimic Bark,False Bark,Bark of the Waiting Snare,0,0,0,2,"+20% Defense (self, 2t).","+25% Defense (self, 2t).","+30% Defense (self, 2t).","Floral allies gain +10% Defense, 2t.",-,The beetle stills completely; its outline stops reading as a creature.,self,12,23,43
M-SPOREFLY-1,SPOREFLY,1,Bloomlung Blight,Spore Cough,Bloomlung,Bloomlung Blight,50,65,80,3,Damage; +25% more vs targets with Infected.,Damage; +40% more vs targets with Infected.,Damage; +50% more vs targets with Infected.,-,-,"Spores in the target's wounds bloom all at once, tearing outward.",enemy,18,24,44
M-SPOREFLY-2,SPOREFLY,2,Sporeneedle Dart,Dart,Needle Dart,Sporeneedle Dart,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,A needling dive too quick to swat.,enemy,1,24,44
M-SPOREFLY-3,SPOREFLY,3,Dusting of Quiet Rot,Spore Dusting,Spore Coating,Dusting of Quiet Rot,0,0,0,1,"Infected: 3%/turn, 1t.","Infected: target takes 2% max HP/turn, 2t; if target already has Infected, extend it 1t.","Infected: target takes 3% max HP/turn, 2t; if target already has Infected, extend it 1t.",-,-,A puff of grey-green motes settles and clings.,enemy,6,24,44
M-SPOREFLY-4,SPOREFLY,4,Swarm of Patient Carriers,Carrier Swarm,Vector Swarm,Swarm of Patient Carriers,0,0,0,2,"Fungal ally +10% Attack, 2t.","Fungal allies +15% Attack, 2t.","Fungal allies +20% Attack, 2t.",(This move IS the synergy: Fungal-only buff.),-,"The fly's swarm splits and orbits its fungal allies, feeding them.",ally,12,24,44
M-ARACHNE-1,ARACHNE,1,Silken Guillotine,Silk Snip,Silken Noose,Silken Guillotine,95,130,160,3,Damage; +25% more vs targets with Numbweave.,Damage; +40% more vs targets with Numbweave.,Damage; +50% more vs targets with Numbweave.,-,-,"A single silk strand pulled taut at neck height, then a shove.",enemy,19,25,48
M-ARACHNE-2,ARACHNE,2,Widow's Fang,Fang Strike,Venom Fang,Widow's Fang,30,40,50,0,Damage only.,"Damage; Widow's Kiss: target takes 2% max HP/turn, 2t.","Damage; Widow's Kiss: target takes 3% max HP/turn, 2t.",-,-,The humanoid torso bends impossibly to bring fangs down.,enemy,1,25,48
M-ARACHNE-3,ARACHNE,3,Paralytic Shroud,Numbing Thread,Paralytic Silk,Paralytic Shroud,0,0,0,2,"Numbweave: target -1 Speed stage, 1t.","Numbweave: target -2 Speed stages, 2t.","Numbweave: target -2 Speed stages, 2t.",-,-,A cast net of silk that tightens as the target struggles.,enemy,7,25,48
M-ARACHNE-4,ARACHNE,4,Larder of the Wrapped,Web Corner,Web Larder,Larder of the Wrapped,0,0,0,2,"Wrapped: +10% damage from the user, 2t.","Wrapped: target takes +15% damage from the user, 2t.","Wrapped: target takes +20% damage from the user, 2t.",-,-,"The target is spun once, twice — hung like stock in a pantry.",enemy+self,13,25,48
M-CARNIFORA-1,CARNIFORA,1,Feast of the Rooted,Leaf Snap,Rooted Feast,Feast of the Rooted,50,65,80,2,Damage; user heals 25% of damage dealt.,Damage; user heals 40% of damage dealt.,Damage; user heals 50% of damage dealt.,-,-,Rootlets spear into the target and pulse as they draw.,enemy+self,7,26,49
M-CARNIFORA-2,CARNIFORA,2,Mantrap Guillotine,Snap Trap,Jawleaf Trap,Mantrap Guillotine,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,The head-bloom closes on the target with a wet clap.,enemy,1,26,49
M-CARNIFORA-3,CARNIFORA,3,Dissolution Bath,Sap Bath,Digestive Bath,Dissolution Bath,0,0,0,2,"Enzyme Drip: target -10% Defense, 1t.","Enzyme Drip: target -10% Defense and 2% max HP/turn, 2t.","Enzyme Drip: target -15% Defense and 3% max HP/turn, 2t.",-,-,Clear fluid sluices over the target; surfaces begin to soften.,enemy,13,26,49
M-CARNIFORA-4,CARNIFORA,4,Devouring Overgrowth,Overgrowth,Rampant Overgrowth,Devouring Overgrowth,0,0,0,3,"One ally +15% Defense, 2t.","All allies +15% Defense, 2t.","All allies +20% Defense, 2t.",Floral allies gain +35% Defense instead.,-,Vines burst from the soil and lattice over the team.,ally,20,26,49
M-PLAGUECARRIER-1,PLAGUECARRIER,1,Bite of the Great Dying,Sick Bite,Pandemic Bite,Bite of the Great Dying,70,95,120,3,"Damage; Infested: target takes 2% max HP/turn, 2t.","Damage; Infested: target takes 3% max HP/turn, 3t.","Damage; Infested: target takes 4% max HP/turn, 3t.",-,+30% damage vs Beast targets.,The bite lingers a beat too long — something is left behind.,enemy,20,27,50
M-PLAGUECARRIER-2,PLAGUECARRIER,2,Plagueshell Shear,Chitin Clip,Chitin Shear,Plagueshell Shear,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,"Mandibles nip once, almost politely.",enemy,1,27,50
M-PLAGUECARRIER-3,PLAGUECARRIER,3,Unleash the Colony,Release Colony,Release the Colony,Unleash the Colony,0,0,0,2,"Infested: 3%/turn, 1t.","Infested: target takes 3% max HP/turn, 2t.","Infested: target takes 4% max HP/turn, 2t.","Parasite allies gain +15% Attack, 2t.",-,The shell lifts; a glittering tide pours out and onto the target.,enemy,7,27,50
M-PLAGUECARRIER-4,PLAGUECARRIER,4,Gift of the Patient Host,Host's Gift,Carrier's Gift,Gift of the Patient Host,0,0,0,2,One ally cleanses 1 debuff.,"One ally cleanses 1 debuff and gains +15% Attack, 2t.","One ally cleanses 1 debuff and gains +20% Attack, 2t.",Insect allies gain +30% Attack instead.,-,A few parasites leap to the ally and eat what troubles it.,ally,14,27,50
M-DEVOUT-1,DEVOUT,1,Prayer Answered in Blood,Whispered Prayer,Answered Prayer,Prayer Answered in Blood,95,130,160,4,Damage; +20% more vs targets with any active buff.,Damage; +30% more vs targets with any active buff.,Damage; +40% more vs targets with any active buff.,-,-,"Both scythe-arms descend in perfect symmetry, like a benediction.",enemy,20,27,50
M-DEVOUT-2,DEVOUT,2,Zealot's Consecration,Prayer Strike,Zealot Strike,Zealot's Consecration,30,40,50,0,Damage only.,Damage; +15% more if user acted before the target this turn.,Damage; +20% more if user acted before the target this turn.,-,-,Forelimbs unfold from the prayer pose already mid-strike.,enemy+self,1,27,50
M-DEVOUT-3,DEVOUT,3,Between the Last Blinks,Between Blinks,Between Heartbeats,Between the Last Blinks,0,0,0,2,Next hit taken -30%.,Next hit taken -40%.,Next hit taken -50%.,-,-,You blink. It is somewhere else. You did not see it move.,self,7,27,50
M-DEVOUT-4,DEVOUT,4,Grace of the Silent Order,Silent Grace,Solemn Grace,Grace of the Silent Order,0,0,0,2,"Self +1 Speed stage, 1t.","Self +1 Speed stage, 2t.","Self +1 Speed stage, 2t.","Fey allies gain +1 Speed stage, 1t.",-,The mantis bows; the air forgets to carry its sound.,self,14,27,50
M-LOCUST-1,LOCUST,1,Descent of the Devourers,Swarm Gather,The Swarm Descends,Descent of the Devourers,95,130,160,4,Damage; +10% more per Insect ally on the team.,Damage; +20% more per Insect ally on the team.,Damage; +25% more per Insect ally on the team.,(This move IS the synergy: scales with Insect allies.),-,The sky grains over; the sound arrives before the darkness does.,enemy+ally,21,28,51
M-LOCUST-2,LOCUST,2,Tide of Chitin,Swarm Surge,Swarm Tide,Tide of Chitin,70,95,120,2,Damage as 3 hits.,Damage as 4 hits.,Damage as 4 hits.,-,-,The single drone blurs into a local cloud of itself.,enemy,14,28,51
M-LOCUST-3,LOCUST,3,Leave Nothing Green,Strip Field,Strip the Field,Leave Nothing Green,50,65,80,1,Damage only.,"Damage; Famine: target -5% Attack, 2t.","Damage; Famine: target -10% Attack, 2t.",-,-,Everything green in a metre radius vanishes mid-swing.,enemy,7,28,51
M-LOCUST-4,LOCUST,4,Consume the Harvest,Devour,Devour All,Consume the Harvest,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,A mouthful of the target simply ceases to be there.,enemy,1,28,51
M-VESPERA-1,VESPERA,1,Swarm of the Crowned Queen,Crown Swarm,Coronation Swarm,Swarm of the Crowned Queen,95,130,160,3,Damage; +20% more vs targets with any damage-over-time effect.,Damage; +30% more vs targets with any damage-over-time effect.,Damage; +40% more vs targets with any damage-over-time effect.,-,-,The half-fungal brood rises behind their queen and falls as one.,enemy,23,31,54
M-VESPERA-2,VESPERA,2,Sting of the Sovereign,Sting,Royal Sting,Sting of the Sovereign,30,40,50,0,Damage only.,"Damage; Venom Bloom: target takes 2% max HP/turn, 2t.","Damage; Venom Bloom: target takes 3% max HP/turn, 2t.",-,-,A surgical sting; the puncture blooms dark immediately.,enemy,1,31,54
M-VESPERA-3,VESPERA,3,Edict of the Hive Throne,Queen's Decree,Queen's Edict,Edict of the Hive Throne,0,0,0,2,"One ally +10% Attack, 2t.","All allies +10% Attack, 2t.","All allies +15% Attack, 2t.",Insect allies gain +30% Attack instead.,-,A pheromone shimmer rolls outward; allies' movements sharpen.,ally,8,31,54
M-VESPERA-4,VESPERA,4,Brood of the Vesper Court,Spore Brood,Brood Bloom,Brood of the Vesper Court,0,0,0,2,"Hatching Spores: 3%/turn, 1t.","Hatching Spores: target takes 3% max HP/turn, 2t; if target has Venom Bloom, also -5% Defense, 2t.","Hatching Spores: target takes 4% max HP/turn, 2t; if target has Venom Bloom, also -10% Defense, 2t.",-,-,"Fungal larvae seed the wound and begin, audibly, to grow.",enemy,16,31,54
M-YGGDRASIL-1,YGGDRASIL,1,Rise of the Deep Roots,Root Stir,The Deep Roots Rise,Rise of the Deep Roots,70,95,120,4,"Damage; Worldbind: target -1 Speed stage, 1t.","Damage; Worldbind: target -2 Speed stages and -10% Defense, 2t.","Damage; Worldbind: target -2 Speed stages and -15% Defense, 2t.",-,+30% damage vs Undead targets.,The visible trunk is still. Everything else in the ground is not.,enemy,23,31,54
M-YGGDRASIL-2,YGGDRASIL,2,Grasp of the World-Root,Root Grasp,Worldroot Grasp,Grasp of the World-Root,30,40,50,0,Damage only.,"Damage; Held: target -1 Speed stage, 1t.","Damage; Held: target -1 Speed stage, 1t.",-,-,A root the width of a road closes around the target.,enemy,1,31,54
M-YGGDRASIL-3,YGGDRASIL,3,Aegis of the World Tree,Root Aegis,World-Root Aegis,Aegis of the World Tree,0,0,0,3,"One ally takes -25% damage, 1t.","All allies take -25% damage, 1t.","All allies take -30% damage, 1t.",Floral allies take -45% damage instead.,-,Roots rise and weave a living palisade around the team.,ally,8,31,54
M-YGGDRASIL-4,YGGDRASIL,4,Sap of Uncounted Ages,Sap of Ages,Ageless Sap,Sap of Uncounted Ages,0,0,0,3,Heal one ally 20% max HP.,Heal one ally 25% max HP.,Heal one ally 30% max HP.,-,-,Golden sap beads from the bark and runs uphill to the wounded.,ally,16,31,54
M-CLIFFPINCER-1,CLIFFPINCER,1,Sheer Cliff Obliteration,Face Slam,Sheer Face Slam,Sheer Cliff Obliteration,95,130,160,4,"Damage; Cracked Carapace: target -10% Defense, 1t.","Damage; Cracked Carapace: target -10% Defense, 2t.","Damage; Cracked Carapace: target -15% Defense, 2t.",-,-,The crab rides a slab of falling cliff-face into the target.,enemy,18,24,45
M-CLIFFPINCER-2,CLIFFPINCER,2,Deadfall Execution,Drop Ambush,Deadfall Ambush,Deadfall Execution,70,95,120,2,Damage; +20% more if the target acted before the user this turn.,Damage; +30% more if the target acted before the user this turn.,Damage; +40% more if the target acted before the user this turn.,-,-,It lets go of the cliff. Gravity does the aiming.,enemy+self,6,24,45
M-CLIFFPINCER-3,CLIFFPINCER,3,Vicegrip Ruin,Pincer Crush,Vice Crush,Vicegrip Ruin,50,65,80,0,Damage only.,Damage only.,Damage only.,-,-,A claw the colour of the cliff closes with a hydraulic crunch.,enemy,1,24,45
M-CLIFFPINCER-4,CLIFFPINCER,4,Bedrock Anchor,Stonecling,Stonegrip Cling,Bedrock Anchor,0,0,0,2,"+25% Defense (self, 2t).","+30% Defense (self, 2t).","+35% Defense (self, 2t).",-,-,The crab flattens against rock and becomes indistinguishable from it.,self,12,24,45
M-CRUSHMAUL-1,CRUSHMAUL,1,Juggernaut Devastation,Heavy Roll,Juggernaut Roll,Juggernaut Devastation,95,130,160,3,"Damage; Flattened: target -5% Attack, 1t.","Damage; Flattened: target -5% Attack, 2t.","Damage; Flattened: target -10% Attack, 2t.",-,-,"It circles the arena once, gathering speed, then stops using the target.",enemy,15,20,43
M-CRUSHMAUL-2,CRUSHMAUL,2,Unstoppable Collision,Momentum Crash,Momentum Wreck,Unstoppable Collision,70,95,120,2,Damage only.,Damage; +25% more if Spikeball was used last turn.,Damage; +30% more if Spikeball was used last turn.,-,-,The spiked sphere arrives at full downhill speed.,enemy,5,20,43
M-CRUSHMAUL-3,CRUSHMAUL,3,Steamroll Ruin,Roll Over,Flatten,Steamroll Ruin,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,"A short, brutal roll straight across the target.",enemy,1,20,43
M-CRUSHMAUL-4,CRUSHMAUL,4,Impaler Sphere,Spikeball,Spiked Shell,Impaler Sphere,0,0,0,2,"+20% Defense (self, 2t).","+25% Defense (self, 2t); attackers take 5% of their damage back.","+30% Defense (self, 2t); attackers take 10% of their damage back.",-,-,The pillbug locks into a sphere of interlocking spikes.,self+enemy,10,20,43
M-SLAGWORM-1,SLAGWORM,1,Devour the Bedrock,Rock Chew,Consume Bedrock,Devour the Bedrock,50,65,80,3,"Damage; +15% Defense (self, 2t).","Damage; user +20% Defense, 2t.","Damage; user +25% Defense, 2t.",-,+45% damage vs Construct targets.,The worm takes a bite out of the world and armors itself with it.,enemy+self,15,20,44
M-SLAGWORM-2,SLAGWORM,2,Slither of Molten Ruin,Caustic Glide,Caustic Slither,Slither of Molten Ruin,30,40,50,0,Damage only.,"Damage; Slagtrail: target -4% Defense, 2t.","Damage; Slagtrail: target -5% Defense, 2t.",-,-,The slug slides across the target; the path smokes.,enemy,1,20,44
M-SLAGWORM-3,SLAGWORM,3,Dissolution of Stone,Dissolve Stone,Melt Stone,Dissolution of Stone,0,0,0,2,"Liquefied Armor: target -10% Defense, 1t.","Liquefied Armor: target -15% Defense, 2t.","Liquefied Armor: target -20% Defense, 2t.",-,-,A concentrated spit; solid surfaces run like candle wax.,enemy,5,20,44
